,Date,Status,state,cases
324,2020-06-30,Confirmed,TT,18256
325,2020-06-30,Recovered,TT,12565
326,2020-06-30,Deceased,TT,506
327,2020-07-01,Confirmed,TT,19429
328,2020-07-01,Recovered,TT,12064
329,2020-07-01,Deceased,TT,438
330,2020-07-02,Confirmed,TT,21947
331,2020-07-02,Recovered,TT,19999
332,2020-07-02,Deceased,TT,378
333,2020-07-03,Confirmed,TT,22718
334,2020-07-03,Recovered,TT,14417
335,2020-07-03,Deceased,TT,444
336,2020-07-04,Confirmed,TT,24018
337,2020-07-04,Recovered,TT,14746
338,2020-07-04,Deceased,TT,611
339,2020-07-05,Confirmed,TT,23942
340,2020-07-05,Recovered,TT,15829
341,2020-07-05,Deceased,TT,421
342,2020-07-06,Confirmed,TT,22500
343,2020-07-06,Recovered,TT,15315
344,2020-07-06,Deceased,TT,473
345,2020-07-07,Confirmed,TT,23147
346,2020-07-07,Recovered,TT,16836
347,2020-07-07,Deceased,TT,479
348,2020-07-08,Confirmed,TT,25561
349,2020-07-08,Recovered,TT,19508
350,2020-07-08,Deceased,TT,492
351,2020-07-09,Confirmed,TT,25790
352,2020-07-09,Recovered,TT,19408
353,2020-07-09,Deceased,TT,479
354,2020-07-10,Confirmed,TT,27762
355,2020-07-10,Recovered,TT,20289
356,2020-07-10,Deceased,TT,520
357,2020-07-11,Confirmed,TT,27757
358,2020-07-11,Recovered,TT,19981
359,2020-07-11,Deceased,TT,543
360,2020-07-12,Confirmed,TT,29106
361,2020-07-12,Recovered,TT,18198
362,2020-07-12,Deceased,TT,500
363,2020-07-13,Confirmed,TT,28178
364,2020-07-13,Recovered,TT,17683
365,2020-07-13,Deceased,TT,541
366,2020-07-14,Confirmed,TT,29917
367,2020-07-14,Recovered,TT,20977
368,2020-07-14,Deceased,TT,587
369,2020-07-15,Confirmed,TT,32607
370,2020-07-15,Recovered,TT,20646
371,2020-07-15,Deceased,TT,614
372,2020-07-16,Confirmed,TT,35468
373,2020-07-16,Recovered,TT,22867
374,2020-07-16,Deceased,TT,680
375,2020-07-17,Confirmed,TT,34820
376,2020-07-17,Recovered,TT,17476
377,2020-07-17,Deceased,TT,676
378,2020-07-18,Confirmed,TT,37411
379,2020-07-18,Recovered,TT,23583
380,2020-07-18,Deceased,TT,543
381,2020-07-19,Confirmed,TT,40235
382,2020-07-19,Recovered,TT,22730
383,2020-07-19,Deceased,TT,675
384,2020-07-20,Confirmed,TT,36806
385,2020-07-20,Recovered,TT,24303
386,2020-07-20,Deceased,TT,596
387,2020-07-21,Confirmed,TT,39170
388,2020-07-21,Recovered,TT,27589
389,2020-07-21,Deceased,TT,671
390,2020-07-22,Confirmed,TT,45601
391,2020-07-22,Recovered,TT,31875
