,Date,abbreviation,Confirmed,Deceased,Recovered,State,population,Total Doses Administered
168,2021-01-17,UT,112,5,98,Uttarakhand,10086292,556
169,2021-01-17,WB,565,12,621,West Bengal,91276115,2085
170,2021-01-18,AN,5,0,1,Andaman and Nicobar Islands,380581,42
171,2021-01-18,AP,81,1,263,Andhra Pradesh,49700000,12234
172,2021-01-18,AR,1,0,2,Arunachal Pradesh,1383727,560
173,2021-01-18,AS,33,2,139,Assam,31205576,722
174,2021-01-18,BR,144,3,344,Bihar,104099452,7883
175,2021-01-18,CH,27,0,53,Chandigarh,1055450,158
176,2021-01-18,CT,471,7,1301,Chhattisgarh,25545198,1656
177,2021-01-18,DL,161,8,362,Delhi,"16,787,941",1366
178,2021-01-18,GA,53,0,66,Goa,1458545,47
179,2021-01-18,GJ,495,2,700,Gujarat,60439692,2182
180,2021-01-18,HP,35,1,103,Himachal Pradesh,6864602,352
181,2021-01-18,HR,119,4,280,Haryana,25351462,5360
182,2021-01-18,JH,100,4,131,Jharkhand,32988134,749
183,2021-01-18,JK,82,1,194,Jammu and Kashmir,12541302,672
184,2021-01-18,KA,435,9,973,Karnataka,61095297,14755
185,2021-01-18,KL,3346,17,3921,Kerala,33406061,2566
186,2021-01-18,LD,14,0,0,Lakshadweep,"64,473",237
187,2021-01-18,MH,1924,35,3854,Maharashtra,112374333,6151
188,2021-01-18,ML,2,0,2,Meghalaya,2966889,58
189,2021-01-18,MN,11,0,58,Manipur,2855794,169
190,2021-01-18,MP,304,3,540,Madhya Pradesh,72626809,15934
191,2021-01-18,MZ,1,0,5,Mizoram,1097206,98
192,2021-01-18,NL,3,0,4,Nagaland,1978502,315
193,2021-01-18,PB,124,5,278,Punjab,27743338,678
194,2021-01-18,RJ,213,3,626,Rajasthan,68548437,4037
195,2021-01-18,SK,0,0,9,Sikkim,610577,7
196,2021-01-18,TG,206,2,346,Telangana,35200000,2463
197,2021-01-18,TN,551,8,758,Tamil Nadu,72147030,2861
198,2021-01-18,TN,551,8,758,Tamil Nadu,67900000,2861
199,2021-01-18,TR,3,0,5,Tripura,3673917,230
200,2021-01-18,TR,3,0,5,Tripura,3600000,230
201,2021-01-18,UP,376,4,622,Uttar Pradesh,199812341,1532
202,2021-01-18,UT,120,6,330,Uttarakhand,10086292,517
203,2021-01-18,WB,389,10,569,West Bengal,91276115,5060
204,2021-01-19,AN,1,0,0,Andaman and Nicobar Islands,380581,89
205,2021-01-19,AP,179,1,231,Andhra Pradesh,49700000,25539
206,2021-01-19,AR,3,0,8,Arunachal Pradesh,1383727,574
207,2021-01-19,AS,23,0,106,Assam,31205576,1254
208,2021-01-19,BR,189,1,595,Bihar,104099452,15546
209,2021-01-19,CH,31,0,49,Chandigarh,1055450,165
210,2021-01-19,CT,383,10,436,Chhattisgarh,25545198,2014
211,2021-01-19,DL,231,10,222,Delhi,"16,787,941",3041
212,2021-01-19,GA,112,0,115,Goa,1458545,72
213,2021-01-19,GJ,485,2,709,Gujarat,60439692,4842
214,2021-01-19,HP,41,0,81,Himachal Pradesh,6864602,448
215,2021-01-19,HR,153,4,241,Haryana,25351462,11728
216,2021-01-19,JH,101,3,141,Jharkhand,32988134,1455
217,2021-01-19,JK,113,1,120,Jammu and Kashmir,12541302,1369
218,2021-01-19,KA,645,6,807,Karnataka,61095297,25142
219,2021-01-19,KL,6186,26,4296,Kerala,33406061,5355
220,2021-01-19,LD,7,0,0,Lakshadweep,"64,473",622
221,2021-01-19,MH,2294,50,4516,Maharashtra,112374333,13699
222,2021-01-19,ML,3,0,18,Meghalaya,2966889,170
223,2021-01-19,MN,33,1,93,Manipur,2855794,267
224,2021-01-19,MP,304,7,725,Madhya Pradesh,72626809,18409
225,2021-01-19,MZ,6,0,11,Mizoram,1097206,259
226,2021-01-19,NL,5,0,7,Nagaland,1978502,649
227,2021-01-19,PB,208,7,247,Punjab,27743338,1529
228,2021-01-19,RJ,209,2,537,Rajasthan,68548437,13022
229,2021-01-19,SK,14,1,9,Sikkim,610577,38
230,2021-01-19,TG,256,2,298,Telangana,35200000,11169
231,2021-01-19,TN,543,9,772,Tamil Nadu,72147030,6154
232,2021-01-19,TN,543,9,772,Tamil Nadu,67900000,6154
233,2021-01-19,TR,3,0,3,Tripura,3673917,681
234,2021-01-19,TR,3,0,3,Tripura,3600000,681
235,2021-01-19,UP,334,4,789,Uttar Pradesh,199812341,1568
236,2021-01-19,UT,116,2,251,Uttarakhand,10086292,1141
237,2021-01-19,WB,412,11,513,West Bengal,91276115,12364
238,2021-01-20,AN,2,0,3,Andaman and Nicobar Islands,380581,124
239,2021-01-20,AP,173,0,196,Andhra Pradesh,49700000,35901
240,2021-01-20,AR,0,0,6,Arunachal Pradesh,1383727,601
241,2021-01-20,AS,32,2,98,Assam,31205576,1254
242,2021-01-20,BR,209,3,257,Bihar,104099452,16183
243,2021-01-20,CH,28,0,42,Chandigarh,1055450,165
